smiles,reaction_energy
Fc1ccc(F)c(c12)C(=O)SC2=O,0.00468
Fc1cccc(c12)C(=O)SC2=O,0.00783
c1c(F)c(F)cc(c12)C(=O)SC2=O,0.00733
c1c(F)ccc(c12)C(=O)SC2=O,0.00912
Nc1c(N)c(N)c(N)c(c12)C(=O)SC2=O,0.0411
Nc1c(N)c(N)cc(c12)C(=O)SC2=O,0.03187
Nc1c(N)cc(N)c(c12)C(=O)SC2=O,0.03982
Nc1c(N)ccc(c12)C(=O)SC2=O,0.02848
Nc1cc(N)cc(c12)C(=O)SC2=O,0.02744
Nc1ccc(N)c(c12)C(=O)SC2=O,0.0322
Nc1cccc(c12)C(=O)SC2=O,0.02097
c1c(N)c(N)cc(c12)C(=O)SC2=O,0.02367
c1c(N)ccc(c12)C(=O)SC2=O,0.02066
Oc1c(O)c(O)c(O)c(c12)C(=O)SC2=O,0.02915
Oc1c(O)c(O)cc(c12)C(=O)SC2=O,0.02234
Oc1c(O)cc(O)c(c12)C(=O)SC2=O,0.02838
Oc1c(O)ccc(c12)C(=O)SC2=O,0.02152
Oc1cc(O)cc(c12)C(=O)SC2=O,0.01872
Oc1ccc(O)c(c12)C(=O)SC2=O,0.0203
Oc1cccc(c12)C(=O)SC2=O,0.01511
c1c(O)c(O)cc(c12)C(=O)SC2=O,0.01693
c1c(O)ccc(c12)C(=O)SC2=O,0.01514
O=S(=O)(O)c1c(S(=O)(=O)O)c(S(=O)(=O)O)c(S(=O)(=O)O)c(c12)C(=O)SC2=O,-0.03024
O=S(=O)(O)c1c(S(=O)(=O)O)c(S(=O)(=O)O)cc(c12)C(=O)SC2=O,-0.0207
O=S(=O)(O)c1c(S(=O)(=O)O)cc(S(=O)(=O)O)c(c12)C(=O)SC2=O,-0.01326
O=S(=O)(O)c1c(S(=O)(=O)O)ccc(c12)C(=O)SC2=O,-0.00932
O=S(=O)(O)c1cc(S(=O)(=O)O)cc(c12)C(=O)SC2=O,-0.00987
O=S(=O)(O)c1ccc(S(=O)(=O)O)c(c12)C(=O)SC2=O,-0.00802
O=S(=O)(O)c1cccc(c12)C(=O)SC2=O,0.0008
O=S(=O)(O)c(c1)c(S(=O)(=O)O)cc(c12)C(=O)SC2=O,-0.01382
O=S(=O)(O)c(c1)ccc(c12)C(=O)SC2=O,0.00094
O=C(O)c1c(C(=O)O)c(C(=O)O)c(C(=O)O)c(c12)C(=O)OC2=O,0.00225
O=C(O)c1c(C(=O)O)c(C(=O)O)cc(c12)C(=O)OC2=O,-0.0011
O=C(O)c1c(C(=O)O)cc(C(=O)O)c(c12)C(=O)OC2=O,-0.00154
O=C(O)c1c(C(=O)O)ccc(c12)C(=O)OC2=O,0.00436
O=C(O)c1cc(C(=O)O)cc(c12)C(=O)OC2=O,-0.00382
O=C(O)c1ccc(C(=O)O)c(c12)C(=O)OC2=O,0.00162
O=C(O)c1cccc(c12)C(=O)OC2=O,0.00659
O=C(O)c(c1)ccc(c12)C(=O)OC2=O,0.01547
c1cccc(c12)C(=O)OC2=O,0.02595
Fc1c(F)c(F)c(F)c(c12)C(=O)OC2=O,0.01435
Fc1c(F)c(F)cc(c12)C(=O)OC2=O,0.01786
Fc1c(F)cc(F)c(c12)C(=O)OC2=O,0.01643
Fc1c(F)ccc(c12)C(=O)OC2=O,0.02008
Fc1cc(F)cc(c12)C(=O)OC2=O,0.01938
Fc1ccc(F)c(c12)C(=O)OC2=O,0.01748
Fc1cccc(c12)C(=O)OC2=O,0.02121
c1c(F)c(F)cc(c12)C(=O)OC2=O,0.02123
c1c(F)ccc(c12)C(=O)OC2=O,0.02346
Nc1c(N)c(N)c(N)c(c12)C(=O)OC2=O,0.05309
Nc1c(N)c(N)cc(c12)C(=O)OC2=O,0.04419
Nc1c(N)cc(N)c(c12)C(=O)OC2=O,0.04996
Nc1c(N)ccc(c12)C(=O)OC2=O,0.04123
Nc1cc(N)cc(c12)C(=O)OC2=O,0.03953
Nc1ccc(N)c(c12)C(=O)OC2=O,0.04895
Nc1cccc(c12)C(=O)OC2=O,0.03524
c1c(N)c(N)cc(c12)C(=O)OC2=O,0.04124
c1c(N)ccc(c12)C(=O)OC2=O,0.03415
Oc1c(O)c(O)c(O)c(c12)C(=O)OC2=O,0.04145
Oc1c(O)c(O)cc(c12)C(=O)OC2=O,0.03544
Oc1c(O)cc(O)c(c12)C(=O)OC2=O,0.03876
Oc1c(O)ccc(c12)C(=O)OC2=O,0.03349
Oc1cc(O)cc(c12)C(=O)OC2=O,0.03307
Oc1ccc(O)c(c12)C(=O)OC2=O,0.03376
Oc1cccc(c12)C(=O)OC2=O,0.02876
c1c(O)c(O)cc(c12)C(=O)OC2=O,0.03308
c1c(O)ccc(c12)C(=O)OC2=O,0.02967
O=S(=O)(O)c1c(S(=O)(=O)O)c(S(=O)(=O)O)c(S(=O)(=O)O)c(c12)C(=O)OC2=O,-0.02817
O=S(=O)(O)c1c(S(=O)(=O)O)c(S(=O)(=O)O)cc(c12)C(=O)OC2=O,-0.01321
O=S(=O)(O)c1c(S(=O)(=O)O)cc(S(=O)(=O)O)c(c12)C(=O)OC2=O,-0.01336
O=S(=O)(O)c1c(S(=O)(=O)O)ccc(c12)C(=O)OC2=O,-0.00045
O=S(=O)(O)c1cc(S(=O)(=O)O)cc(c12)C(=O)OC2=O,-0.00242
O=S(=O)(O)c1ccc(S(=O)(=O)O)c(c12)C(=O)OC2=O,-0.00043
O=S(=O)(O)c1cccc(c12)C(=O)OC2=O,0.01006
O=S(=O)(O)c(c1)c(S(=O)(=O)O)cc(c12)C(=O)OC2=O,-0.00382
O=S(=O)(O)c(c1)ccc(c12)C(=O)OC2=O,0.01212
O=C(O)c1c(C(=O)O)c(C(=O)O)c(C(=O)O)c(c12)C(=O)N(C2=O)C,-0.00251
O=C(O)c1c(C(=O)O)c(C(=O)O)cc(c12)C(=O)N(C2=O)C,0.00579
O=C(O)c1c(C(=O)O)cc(C(=O)O)c(c12)C(=O)N(C2=O)C,-0.00112
